コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
2221,20-Mar,74.5,22840120000.0,173524000,26,7,2.0,9.0
2222,20-Mar,78.9,45180501000.0,6454566000,40,30.36,4.0,7.0
2224,20-Mar,36.2,6289973000.0,393793000,7,9.14,0.0,10.0
2226,20-Jun,54.9,37739000000.0,1012000000,45,33.13,0.0,0.0
2229,20-Mar,75.9,256000000000.0,27664000000,50,36.65,1.0,9.0
2230,20-May,21.1,2044184000.0,65305000,-,-,0.0,0.0
2264,20-Mar,41.6,591000000000.0,25359000000,60,14.58,3.0,9.0
2266,20-Dec,48.7,54948000000.0,1940000000,20,40.76,0.0,0.0
2267,20-Mar,59.5,406000000000.0,45675000000,46,18.95,2.0,2.0
2268,20-Dec,56,17441000000.0,599000000,30,54.5,0.0,1.0
2269,20-Mar,56.3,1250000000000.0,1.03E+11,150,31.24,5.0,9.0
2270,20-Mar,47.3,613000000000.0,17998000000,40,22.26,0.0,9.0
2281,20-Mar,45.6,418000000000.0,15636000000,60,34.23,0.0,10.0
2282,20-Mar,52.6,1230000000000.0,43772000000,90,48.2,0.0,1.0
2286,20-Mar,26.2,45175612000.0,988962000,15,15.27,1.0,9.0
2288,20-Mar,56.5,246000000000.0,2617000000,35,53.84,0.0,0.0
2291,20-Mar,26.7,25597000000.0,-536000000,-,-,0.0,8.0
2292,20-Feb,46.8,352000000000.0,10703000000,60,28.2,7.0,10.0
2293,20-Mar,26.1,29580101000.0,-86604000,-,-,0.0,0.0
2294,20-Feb,76.2,43937000000.0,2429000000,75,45.3,3.0,10.0
2296,20-Mar,58.5,852000000000.0,17266000000,17,43.89,0.0,3.0
2300,20-Feb,72.9,6618536000.0,81031000,11,116.19,0.0,4.0
2301,20-Oct,91.3,5720004000.0,1188411000,30,53,6.0,9.0
2303,20-May,88.1,1050916000.0,290089000,10,11.89,4.0,7.0
2304,20-Sep,45.9,11962668000.0,-1072244000,5,221.39,0.0,8.0
2305,20-Feb,68.2,38879090000.0,3245168000,50,70.2,0.0,2.0
2307,20-Mar,61.1,9674939000.0,721680000,22,33.12,3.0,9.0
2309,20-Sep,26.4,76098000000.0,2605000000,25,32.69,1.0,3.0
2315,20-Oct,81.8,6003323000.0,-679903000,-,-,0.0,5.0
2317,20-Mar,63,64552000000.0,8163000000,20,34.84,4.0,9.0
2323,20-Mar,59.8,545411000.0,5700000,-,-,0.0,9.0
2326,20-Mar,79.7,5641805000.0,2328036000,50,48.3,6.0,10.0
2327,20-Mar,62.2,275000000000.0,28387000000,65,29.59,6.0,10.0
2329,20-Mar,77.1,59886000000.0,2978000000,16,40.69,0.0,0.0
2331,20-Mar,57.3,460000000000.0,36795000000,70,29.12,7.0,9.0
2332,20-Mar,71.6,10314527000.0,736758000,35,49.81,1.0,3.0
2334,20-Mar,80.6,1844098000.0,26681000,-,-,0.0,0.0
2335,20-Mar,69.6,14708096000.0,959012000,18,63.65,0.0,9.0
2337,20-Feb,30.1,87360000000.0,27721000000,7,41.69,0.0,10.0
2340,20-Mar,16.5,14597905000.0,-348908000,-,-,0.0,9.0
2341,20-Feb,88.8,4550251000.0,190101000,7,105.68,0.0,3.0
2344,20-Mar,56.9,9801903000.0,1758544000,27,28.19,5.0,9.0
2345,20-Oct,64.5,1859614000.0,34872000,6.61,8.98,0.0,4.0
2349,20-Mar,71.4,18017074000.0,1940359000,22,18.83,1.0,9.0
2351,20-Mar,67.9,2482778000.0,25070000,2,64.76,0.0,9.0
2352,20-Mar,79.4,1875840000.0,462511000,23,25.13,9.0,9.0
2353,20-Jul,27.4,22979793000.0,2672776000,4.5,117.72,9.0,9.0
2354,20-Feb,33.8,13794354000.0,585163000,6,28.7,0.0,3.0
2359,20-Mar,61,20997367000.0,1800724000,27,24.09,2.0,6.0
2362,20-Sep,32.1,58669207000.0,5306311000,35,75.1,0.0,9.0
2371,20-Mar,67.8,60978000000.0,27217000000,40,43.21,9.0,9.0
2372,20-Mar,47.2,10593000000.0,1207000000,40,28.4,0.0,9.0
2373,20-Oct,14.1,33984307000.0,1353543000,35,20.52,0.0,0.0
2374,20-Mar,46.6,43167817000.0,1468388000,15,41.85,9.0,9.0
2375,20-Oct,37,19770958000.0,1002304000,22,14.23,3.0,8.0
2376,20-Mar,65.4,13878875000.0,582707000,12.5,20.74,0.0,9.0
2378,20-Mar,40.5,45049105000.0,3267099000,26,41.33,0.0,0.0
2379,20-Feb,74.3,46415333000.0,14356334000,56,29.92,7.0,10.0
2385,20-Jun,75.7,9312499000.0,1047728000,5,14.3,2.0,2.0
2391,20-Jul,83.2,3052636000.0,729666000,41,60.8,9.0,9.0
2393,20-Mar,75.3,19097258000.0,2155590000,46,47.82,0.0,5.0
2395,20-Mar,41.8,14561084000.0,2228251000,5,4.85,1.0,1.0
2397,20-Mar,84.3,361713000.0,-123317000,-,-,0.0,4.0
2398,20-Mar,30.9,91196000000.0,4240000000,10,36.59,0.0,8.0
2408,20-Dec,86.8,1911075000.0,-367000000,10,-,0.0,0.0
2410,20-Sep,68.1,11021168000.0,-244648000,20,-,1.0,5.0
2411,20-Mar,76.9,11115000000.0,460000000,25,1212.9,0.0,3.0
2412,20-Mar,55.4,37271000000.0,8394000000,25,71.71,8.0,9.0
2413,20-Mar,74.9,131000000000.0,34337000000,8.5,20.96,7.0,9.0
2415,20-Mar,28.2,85989819000.0,2002510000,16,28.85,2.0,2.0
2417,20-Feb,81.3,3052412000.0,-333636000,15,-,0.0,9.0
2424,20-Jul,18.8,7987918000.0,-989951000,-,-,0.0,5.0
2425,20-Mar,52.8,9055582000.0,122810000,7,10.57,0.0,9.0
2428,20-Jun,34.6,9379528000.0,817404000,13.15,189.69,0.0,8.0
2429,20-Dec,36.1,144000000000.0,6251000000,101.7,15,0.0,0.0
2432,20-Mar,70.6,121000000000.0,-45676000000,20,-,0.0,0.0
2433,20-Mar,33.6,1470000000000.0,55131000000,30,24.1,7.0,9.0
2435,20-Mar,7,15132000000.0,549000000,4,10.53,0.0,0.0
2437,20-May,57.1,1719155000.0,-271469000,-,-,0.0,0.0
2438,20-Apr,87,6575955000.0,709112000,10,36.93,1.0,9.0
2440,20-Mar,80.1,30927243000.0,1821826000,8,34.55,0.0,1.0
2445,20-Mar,30.5,46065498000.0,3703166000,14,24.44,0.0,3.0
2449,20-Aug,82,4759000000.0,241469000,40,89.57,9.0,9.0
2453,20-Sep,35.8,12057491000.0,1367847000,16,50.45,5.0,5.0
2454,20-Mar,65.1,15604645000.0,430627000,3,13.11,0.0,0.0
2459,20-May,64.6,1927915000.0,-10912000,-,-,0.0,6.0
2461,20-Dec,77.7,29379000000.0,2852000000,19,72.3,0.0,9.0
2462,20-May,25.3,51072226000.0,2000165000,28,29.63,0.0,0.0
2464,20-Mar,57.7,5600989000.0,160238000,11,352.44,1.0,8.0
2468,20-Mar,65.8,2735333000.0,10502000,3,-,0.0,0.0
2469,20-Mar,30.4,40825821000.0,1267662000,35,50.16,1.0,2.0
2471,20-Nov,39.4,21009000000.0,2228000000,3.3,10,0.0,0.0
2475,20-Mar,72.8,43108338000.0,4956135000,27.5,15.61,4.0,4.0
2477,20-Jun,90.8,1650002000.0,1163733000,26.5,27.85,5.0,5.0
2479,20-Mar,50.8,3034411000.0,141206000,1,18.99,0.0,10.0
2480,20-Mar,82.7,1065711000.0,425766000,28,22.62,2.0,9.0
2481,20-Jun,89.6,2810492000.0,123501000,12,92.08,0.0,9.0
2483,20-Mar,73,11550579000.0,813505000,42,38.08,5.0,9.0
2484,20-Aug,79.1,10306463000.0,-2623102000,-,-,0.0,7.0
2485,20-Sep,66.3,11919000000.0,595000000,20,103.77,3.0,5.0
2487,20-Mar,76.9,9936197000.0,363440000,26,63.44,0.0,3.0
2488,20-Mar,57.4,6245122000.0,470997000,25,32.89,0.0,2.0
2489,20-Mar,64.6,37304590000.0,197114000,2.5,80.93,1.0,3.0
2491,20-Dec,65.3,29171000000.0,6218000000,41,26.49,3.0,3.0
2493,20-Nov,74.9,5653000000.0,265000000,5,19.07,0.0,5.0
2497,20-Mar,78.3,20911573000.0,5101046000,13,78.26,0.0,0.0
2498,20-Sep,25.2,62880920000.0,2707011000,42.5,14.29,6.0,9.0
2531,20-Mar,52.1,281000000000.0,15836000000,20,40.01,5.0,5.0
2540,20-Mar,87.3,10478935000.0,598984000,40,70.11,0.0,9.0
2588,20-Mar,15.7,45453000000.0,1859631000,-,-,0.0,5.0
2590,20-Jan,53.9,168000000000.0,2893000000,60,55.91,0.0,10.0
2593,20-Apr,51,483000000000.0,19940000000,40,66.56,0.0,9.0
2594,20-Mar,69.5,62664000000.0,531000000,20,53.79,0.0,7.0
2599,20-Mar,36.1,15672485000.0,408105000,27,108.76,0.0,6.0
2602,20-Mar,50.2,333000000000.0,13133000000,80,35.05,2.0,9.0
2607,20-Mar,42.3,415000000000.0,23598000000,56,27.29,7.0,9.0
2608,20-Mar,41.1,12303700000.0,-255314000,-,-,0.0,0.0
2612,20-Mar,73.1,33781000000.0,3255000000,110,43.3,0.0,0.0
2613,20-Mar,60.6,178000000000.0,6661000000,100,30.42,0.0,9.0
2651,20-Feb,20,730000000000.0,62943000000,150,100.77,0.0,0.0
2652,20-Sep,47,9017937000.0,257274000,1,4.76,0.0,9.0
2653,20-Feb,14.3,205000000000.0,625000000,10,63.51,0.0,5.0
2654,20-Mar,68.5,19842288000.0,1183226000,10,20.81,0.0,9.0
2659,20-Feb,73.3,185000000000.0,10622000000,53,21.63,10.0,10.0
2664,20-Mar,50.3,270000000000.0,5675000000,45,26.84,0.0,10.0
2666,20-Mar,39.7,7601141000.0,70090000,-,0,0.0,10.0
2668,20-Feb,64.8,15722834000.0,249044000,30,2702.46,0.0,9.0
2669,20-Feb,74.5,84703347000.0,1728899000,65,45.68,0.0,9.0
2670,20-Feb,87,272000000000.0,43374000000,170,52.79,0.0,10.0
2674,20-Mar,80.5,19350453000.0,831504000,40,138.54,0.0,7.0
2676,20-Mar,73.2,20616194000.0,788142000,24,112.14,0.0,6.0
2678,20-May,30.1,400000000000.0,8821000000,38,33.39,0.0,9.0
2681,20-Mar,51.6,305000000000.0,10022000000,34,38.35,0.0,10.0
2683,20-Feb,16.3,11785444000.0,112965000,-,-,0.0,1.0
2685,20-Feb,58.3,222000000000.0,12885000000,50,41.16,0.0,2.0
2686,20-Feb,33.3,89089000000.0,-2000000000,10,-,0.0,0.0
2687,20-Feb,43.7,10427430000.0,37984000,20,-,0.0,0.0
2689,20-Jun,21.6,108000000000.0,927027000,45,70.18,0.0,9.0
2692,20-Mar,37.7,661000000000.0,4430000000,75,23.94,0.0,9.0
2694,20-Mar,35.8,27981345000.0,179352000,-,-,0.0,8.0
2695,20-Oct,51.9,136000000000.0,350000000,40,-,1.0,9.0
2698,20-Nov,44.1,73034000000.0,1558000000,17,61.36,0.0,2.0
2705,20-Mar,37.2,24579663000.0,-648659000,25,-,0.0,1.0
