コード,年度,自己資本比率,売上高,営業利益,一株配当,配当性向,連続増配,減配なし
2060,20-Mar,42.3,2.15E+11,5414000000,25,23.11,0,4
2107,20-Mar,80.7,13515000000,969000000,50,28.76,1,9
2108,20-Mar,69.4,57021000000,1614000000,50,84.7,1,9
2109,20-Mar,58.4,1.14E+11,4848000000,50,87.16,0,8
2112,20-Mar,36.3,25659000000,1071000000,5,20.88,0,0
2114,20-Mar,78.9,18958964000,1491233000,11,24.67,0,5
2117,20-Mar,79,47809000000,2858000000,66,70.23,0,7
2120,20-Sep,60.5,35402758000,2497617000,5.29,50.42,0,0
2121,20-Mar,88.8,1.12E+11,17165000000,110,80.53,0,0
2122,20-Sep,55.4,24880448000,452103000,20,44.55,1,8
2127,20-Mar,81,32009882000,14247322000,26,36.24,9,9
2130,20-Mar,55.6,10607876000,1249603000,14,17.06,8,10
2136,20-Mar,57,5437767000,560200000,24,25.13,0,2
2138,20-Mar,29.8,33995137000,-97479000,-,-,0,1
2139,20-Mar,56.9,6936706000,-54785000,-,-,0,0
2146,20-Mar,41,1.01E+11,8040000000,-,55.42,0,0
2148,20-Mar,81.4,5278570000,1172203000,12,30.15,2,8
2151,20-Mar,34.1,37713000000,3298000000,20,26.4,0,1
2152,20-Mar,67.3,6729738000,1122633000,15,20.99,1,1
2153,20-May,65.2,30394000000,2984000000,25,12.86,2,8
2154,20-Jun,46.2,81755000000,4666000000,40,111.54,7,9
2156,20-Mar,44.6,8217704000,74501000,5,95.17,0,0
2157,20-Aug,51.4,43303711000,1147624000,12,-,0,0
2158,20-Mar,29.1,10470695000,-844443000,-,-,0,0
2159,20-Apr,58.9,21158305000,1074438000,3,6.94,1,3
2162,20-Mar,17.4,62611297000,920437000,5,30.6,2,6
2163,20-Jan,71.8,7002175000,886007000,20.5,35.51,6,6
2164,20-Aug,8.6,3258466000,-292047000,-,-,1,3
2168,20-May,22.7,3.25E+11,10577000000,19,119.87,2,9
2173,20-Mar,28.3,12921275000,645971000,17,21.26,2,9
2175,20-Mar,37.7,35140000000,4935000000,8.5,13.7,0,0
2176,20-Mar,23,2862443000,61801000,-,0,0,3
2178,20-Feb,43.3,50440437000,628195000,7,106.04,0,1
2179,20-Mar,30.3,12220134000,272449000,8.5,179.44,5,5
2180,20-Jun,37.3,14094205000,420829000,2,-,0,2
2181,20-Mar,39.9,9.71E+11,39085000000,30,92,8,9
2183,20-Mar,37.4,10935241000,1005235000,14,56.12,2,5
2185,20-Sep,77.9,17071139000,1818539000,50,20.56,2,9
